school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7004178,경북대학교사범대학부설초등학교(국립),동부,대구광역시 중구 달구벌대로 2150 ,,24,1,25,학생주도탐구학습,1,2,월드,, ,35.86357598,128.5983647
7251116,계성초등학교(사립),동부,대구광역시 중구 달성로 15 ,,24,0,24, ,,, ,, ,35.86566471,128.5811278
7271066,남대구초등학교,남부,대구광역시 남구 중앙대로47길 55,라,11,1,12, ,,, ,5,5,35.8535641,128.5864808
7281031,대구가창초등학교,달성,대구광역시 달성군 가창면 가창로 640 ,다,7,1,8,학교자율성(IB후보),1,2,후보,, ,35.77102937,128.6482703
7271070,대구감삼초등학교,남부,대구광역시 달서구 당산로 123,라,13,1,14,대용부설,1,3, ,, ,35.84914399,128.545555
7271081,대구감천초등학교,남부,대구광역시 달서구 구마로12길 60,다,12,2,14, ,,, ,, ,35.83522361,128.5330966
7251110,대구강동초등학교,동부,대구광역시 동구 동호로7길 17,나,32,1,33, ,,, ,, ,35.86805865,128.7299007
7281102,대구강림초등학교,달성,대구광역시 달성군 옥포읍 돌미로 15 ,다,36,2,38, ,,, ,, ,35.78117282,128.4369578
7261085,대구강북초등학교,서부,대구광역시 북구 구암서로 50,가,23,2,25, ,,, ,, ,35.94086182,128.5667658
7251085,대구경동초등학교,동부,대구광역시 수성구 청호로76길 12 ,가,58,0,58, ,,, ,, ,35.85219753,128.6393734
7261058,대구경운초등학교,서부,대구광역시 서구 평리로54길 16,나,14,2,16, ,,, ,1,4,35.86091064,128.5529435
7261071,대구경진초등학교,서부,대구광역시 북구 경진로12길 5 ,라,6,1,7, ,,, ,, ,35.89190742,128.6171814
7251081,대구고산초등학교,동부,대구광역시 수성구 달구벌대로 3067 ,가,27,2,29, ,,, ,1,4,35.84408951,128.6928066
7251074,대구공산초등학교,동부,대구광역시 동구 팔공로197길 35 ,라,6,0,6, ,,, ,1,4,35.95681748,128.6897923
7261086,대구관남초등학교,서부,대구광역시 북구 칠곡중앙대로91길 10,다,12,1,13, ,,, ,, ,35.93683639,128.54779
7261094,대구관문초등학교,서부,대구광역시 북구 매전로 32 ,가,30,2,32, ,,, ,, ,35.90832926,128.5462968
7261075,대구관음초등학교,서부,대구광역시 북구 관음동로17길 16 ,라,8,1,9, ,,, ,, ,35.93996044,128.5470789
7261076,대구관천초등학교,서부,대구광역시 북구 구암로22길 17 ,라,8,1,9, ,,, ,, ,35.9305582,128.552126
7261081,대구교동초등학교,서부,대구광역시 북구 관음중앙로34길 4 ,다,8,2,10,기초학력,2,2, ,, ,35.94475315,128.5494327
7004088,대구교육대학교대구부설초등학교(국립),남부,대구광역시 달서구 도원남로 19 ,,18,1,19,개념기반탐구학습,1,2,월드,, ,35.80596892,128.5323853
7261079,대구구암초등학교,서부,대구광역시 북구 학정로 245 ,다,13,2,15, ,,, ,, ,35.92797496,128.5573806
7281025,대구구지초등학교,달성,대구광역시 달성군 구지면 창리로11길 45-11,라,21,2,23, ,,, ,1,4,35.66021157,128.4125564
7261228,대구국우초등학교,서부,대구광역시 북구 도남중앙로10길 45 ,다,17,1,18, ,,, ,, ,35.95600462,128.5857861
8862008,대구군위초등학교,군위,대구광역시 군위군 군위읍 동서5길 28 ,라,15,1,16,학교자율성(IB월드),2,2,월드,, ,36.23914088,128.568186
7281019,대구금계초등학교,달성,대구광역시 달성군 옥포읍 금계길 55 ,라,6,0,6, ,,, ,, ,35.78883806,128.4437334
7281021,대구금포초등학교,달성,대구광역시 달성군 논공읍 금포초등길 28,라,8,1,9, ,,, ,4,4,35.77429302,128.4254986
7271075,대구남덕초등학교,남부,대구광역시 남구 앞산순환로93길 33,라,10,1,11, ,,,월드,, ,35.83307955,128.573819
7271055,대구남도초등학교,남부,대구광역시 남구 현충동길 74,나,25,2,27,교육방법,1,1, ,, ,35.84429508,128.5812244
7281032,대구남동초등학교,달성,대구광역시 달성군 논공읍 논공로 258 ,다,8,1,9,학교자율성(IB월드),2,2,월드,, ,35.72463823,128.456469
7271069,대구남명초등학교,남부,대구광역시 남구 큰골4길 41,라,8,1,9, ,,, ,2,4,35.83437755,128.5819861
7271057,대구남부초등학교,남부,대구광역시 달서구 야외음악당로 15길 46,라,11,1,12, ,,,관심,, ,35.84443463,128.5499567
7251049,대구남산초등학교,동부,대구광역시 중구 남산로 70 ,가,52,1,53,대용부설,3,3, ,, ,35.86322075,128.5827674
7271073,대구남송초등학교,남부,대구광역시 달서구 송현로 192,다,17,1,18, ,,, ,, ,35.8348818,128.5453301
7271050,대구내당초등학교,남부,대구광역시 달서구 명덕로 22-9 ,다,22,1,23, ,,, ,5,5,35.86064286,128.5725426
7261074,대구내서초등학교,서부,대구광역시 서구 달구벌대로371길 35 ,라,8,1,9,학교자율성(IB후보),1,2,후보,, ,35.86401125,128.5669722
7251104,대구노변초등학교,동부,대구광역시 수성구 노변공원로 52 ,가,31,1,32,교육방법,1,1, ,, ,35.83773595,128.6977137
7271089,대구노전초등학교,남부,대구광역시 달서구 한실로 43,나,14,1,15, ,,, ,, ,35.80817454,128.5312233
7281038,대구논공초등학교,달성,대구광역시 달성군 논공읍 논공로7길 41 ,다,12,1,13,다문화교육,2,2,관심,5,5,35.73103879,128.4376482
7281026,대구다사초등학교,달성,대구광역시 달성군 다사읍 다사로 86,가,38,2,40, ,,, ,, ,35.8694736,128.4583724
7261070,대구달산초등학교,서부,대구광역시 북구 옥산로17길 37 ,가,33,1,34, ,,, ,, ,35.88804929,128.5854554
7261062,대구달서초등학교,서부,대구광역시 서구 국채보상로34길 35 ,가,25,1,26, ,,, ,, ,35.86684409,128.5505158
7261041,대구달성초등학교,서부,대구광역시 서구 고성로 127 ,가,38,2,40, ,,, ,, ,35.88279286,128.579641
7271087,대구대곡초등학교,남부,대구광역시 달서구 도원남로 60 ,나,14,1,15, ,,, ,, ,35.8032986,128.5357039
7271071,대구대남초등학교,남부,대구광역시 달서구 월배로68길 91,다,12,2,14, ,,, ,, ,35.82430288,128.5515881
7271058,대구대덕초등학교,남부,대구광역시 남구 대명서로 28 ,라,11,1,12, ,,, ,, ,35.830186,128.561791
7271048,대구대명초등학교,남부,대구광역시 남구 대명로 100,나,18,1,19, ,,, ,, ,35.83877137,128.5684317
7271049,대구대봉초등학교,남부,대구광역시 남구 대봉로26길 33 ,나,18,2,20,학교자율성(IB후보),1,2,후보,, ,35.85162263,128.6046334
7261066,대구대산초등학교,서부,대구광역시 북구 신천동로 900 ,라,6,1,7, ,,, ,1,4,35.89732168,128.5940505
7271078,대구대서초등학교,남부,대구광역시 달서구 송현로 9,가,18,1,19, ,,, ,, ,35.82034381,128.549858
